# cystinuria 用の候補リスト（5000 遺伝子）
# Open Targets (MONDO_0009067) の関連遺伝子 397 件と、
# 承認薬の標的 8 件を必ず含む（重複を除いて 397 件）。
# 残り 4603 件は HGNC approved/protein-coding から seed=0 で無作為に補充。
# 記号はすべて実在し、既知の正解が確実に含まれる。
# 形式: 記号<TAB>HGNC正式名<TAB>UniProt推奨タンパク質名（無い遺伝子は空欄）
A2ML1	alpha-2-macroglobulin like 1	Alpha-2-macroglobulin-like protein 1
TAOK3	TAO kinase 3	Serine/threonine-protein kinase TAO3
TARDBP	TAR DNA binding protein	TAR DNA-binding protein 43
TARS1	threonyl-tRNA synthetase 1	Threonine--tRNA ligase 1, cytoplasmic
TAS1R2	taste 1 receptor member 2	Taste receptor type 1 member 2
TAS2R13	taste 2 receptor member 13	Taste receptor type 2 member 13
TAS2R31	taste 2 receptor member 31	Taste receptor type 2 member 31
TAS2R33	taste 2 receptor member 33	Putative taste receptor type 2 member 33
TAS2R36	taste 2 receptor member 36	Putative taste receptor type 2 member 36
TASOR	transcription activation suppressor	Protein TASOR
TAT	tyrosine aminotransferase	Tyrosine aminotransferase
TAX1BP1	Tax1 binding protein 1	Tax1-binding protein 1
TAX1BP3	Tax1 binding protein 3	Tax1-binding protein 3
TBATA	thymus, brain and testes associated	Protein TBATA
TBC1D15	TBC1 domain family member 15	TBC1 domain family member 15
TBC1D16	TBC1 domain family member 16	TBC1 domain family member 16
TBC1D17	TBC1 domain family member 17	TBC1 domain family member 17
TBC1D22A	TBC1 domain family member 22A	TBC1 domain family member 22A
TBC1D22B	TBC1 domain family member 22B	TBC1 domain family member 22B
TBC1D23	TBC1 domain family member 23	TBC1 domain family member 23
TBC1D26	TBC1 domain family member 26	TBC1 domain family member 26
TBC1D28	TBC1 domain family member 28	TBC1 domain family member 28
TBC1D3B	TBC1 domain family member 3B	TBC1 domain family member 3B
TBC1D3C	TBC1 domain family member 3C	TBC1 domain family member 3C
TBC1D3I	TBC1 domain family member 3I	TBC1 domain family member 3I
TBCB	tubulin folding cofactor B	Tubulin-folding cofactor B
TBCD	tubulin folding cofactor D	Tubulin-specific chaperone D
TBKBP1	TBK1 binding protein 1	TANK-binding kinase 1-binding protein 1
TBRG1	transforming growth factor beta regulator 1	Transforming growth factor beta regulator 1
TBX18	T-box transcription factor 18	T-box transcription factor TBX18
TBX22	T-box transcription factor 22	T-box transcription factor TBX22
TBX3	T-box transcription factor 3	T-box transcription factor TBX3
TBX5	T-box transcription factor 5	T-box transcription factor TBX5
TC2N	tandem C2 domains, nuclear	Tandem C2 domains nuclear protein
TCAF2	TRPM8 channel associated factor 2	TRPM8 channel-associated factor 2
TCEA1	transcription elongation factor A1	Transcription elongation factor A protein 1
TCEAL5	transcription elongation factor A like 5	Transcription elongation factor A protein-like 5
TCEANC	transcription elongation factor A N-terminal and central domain containing	Transcription elongation factor A N-terminal and central domain-containing protein
TCEANC2	transcription elongation factor A N-terminal and central domain containing 2	Transcription elongation factor A N-terminal and central domain-containing protein 2
TCERG1L	transcription elongation regulator 1 like	Transcription elongation regulator 1-like protein
TCF21	transcription factor 21	Transcription factor 21
TCF24	transcription factor 24	Transcription factor 24
TCF7	transcription factor 7	Transcription factor 7
TCF7L1	transcription factor 7 like 1	Transcription factor 7-like 1
TCFL5	transcription factor like 5	Transcription factor-like 5 protein
TCHP	trichoplein keratin filament binding	Trichoplein keratin filament-binding protein
TCL1B	TCL1 family AKT coactivator B	T-cell leukemia/lymphoma protein 1B
TCN1	transcobalamin 1	Transcobalamin-1
TCOF1	treacle ribosome biogenesis factor 1	Treacle protein
TCP11X1	t-complex 11 family, X-linked 1	T-complex protein 11-like X-linked protein 1
TCTN2	tectonic family member 2	Tectonic-2
TDG	thymine DNA glycosylase	G/T mismatch-specific thymine DNA glycosylase
TDP2	tyrosyl-DNA phosphodiesterase 2	Tyrosyl-DNA phosphodiesterase 2
TDRD1	tudor domain containing 1	Tudor domain-containing protein 1
TDRD10	tudor domain containing 10	Tudor domain-containing protein 10
TEAD1	TEA domain transcription factor 1	Transcriptional enhancer factor TEF-1
TECR	trans-2,3-enoyl-CoA reductase	Very-long-chain enoyl-CoA reductase
TEDC2	tubulin epsilon and delta complex 2	Tubulin epsilon and delta complex protein 2
TENM2	teneurin transmembrane protein 2	Teneurin-2
TENT2	terminal nucleotidyltransferase 2	Poly(A) RNA polymerase GLD2
TENT4A	terminal nucleotidyltransferase 4A	Terminal nucleotidyltransferase 4A
TENT4B	terminal nucleotidyltransferase 4B	Terminal nucleotidyltransferase 4B
TENT5A	terminal nucleotidyltransferase 5A	Terminal nucleotidyltransferase 5A
TEPSIN	TEPSIN adaptor related protein complex 4 accessory protein	AP-4 complex accessory subunit Tepsin
TERB2	telomere repeat binding bouquet formation protein 2	Telomere repeats-binding bouquet formation protein 2
TERF2	telomeric repeat binding factor 2	Telomeric repeat-binding factor 2
TERT	telomerase reverse transcriptase	Telomerase reverse transcriptase
TESPA1	thymocyte expressed, positive selection associated 1	Protein TESPA1
TET2	tet methylcytosine dioxygenase 2	Methylcytosine dioxygenase TET2
TET3	tet methylcytosine dioxygenase 3	Methylcytosine dioxygenase TET3
TEX12	testis expressed 12	Testis-expressed protein 12
TEX22	testis expressed 22	Testis-expressed protein 22
TEX35	testis expressed 35	Testis-expressed protein 35
TEX46	testis expressed 46	Testis-expressed protein 46
TEX52	testis expressed 52	Testis-expressed protein 52
TEX9	testis expressed 9	Testis-expressed protein 9
TF	transferrin	Serotransferrin
TFAP2B	transcription factor AP-2 beta	Transcription factor AP-2-beta
TFB1M	transcription factor B1, mitochondrial	Dimethyladenosine transferase 1, mitochondrial
TFCP2L1	transcription factor CP2 like 1	Transcription factor CP2-like protein 1
TFDP3	transcription factor Dp family member 3	Transcription factor Dp family member 3
TFF3	trefoil factor 3	Trefoil factor 3
TFR2	transferrin receptor 2	Transferrin receptor protein 2
TG	thyroglobulin	Thyroglobulin
TGDS	TDP-glucose 4,6-dehydratase	UDP-D-glucose 4,6-dehydratase
TGFB1	transforming growth factor beta 1	Transforming growth factor beta-1 proprotein [Cleaved into: Latency-associated peptide
TGFB2	transforming growth factor beta 2	Transforming growth factor beta-2 proprotein
TGFBR1	transforming growth factor beta receptor 1	TGF-beta receptor type-1
TGFBR3	transforming growth factor beta receptor 3	Transforming growth factor beta receptor type 3
TGIF2	TGFB induced factor homeobox 2	Homeobox protein TGIF2
TGIF2LY	TGFB induced factor homeobox 2 like Y-linked	Homeobox protein TGIF2LY
TGM4	transglutaminase 4	Protein-glutamine gamma-glutamyltransferase 4
TGM7	transglutaminase 7	Protein-glutamine gamma-glutamyltransferase Z
THAP12	THAP domain containing 12	52 kDa repressor of the inhibitor of the protein kinase
THAP3	THAP domain containing 3	THAP domain-containing protein 3
THAP4	THAP domain containing 4	Peroxynitrite isomerase THAP4
THAP5	THAP domain containing 5	THAP domain-containing protein 5
THBS1	thrombospondin 1	Thrombospondin-1
THEMIS2	thymocyte selection associated family member 2	Protein THEMIS2
THNSL2	threonine synthase like 2	Threonine synthase-like 2
THOC2	THO complex subunit 2	THO complex subunit 2
THOC6	THO complex subunit 6	THO complex subunit 6
THOC7	THO complex subunit 7	THO complex subunit 7
THOP1	thimet oligopeptidase 1	Thimet oligopeptidase
THPO	thrombopoietin	Thrombopoietin
THSD7A	thrombospondin type 1 domain containing 7A	Thrombospondin type-1 domain-containing protein 7A [Cleaved into: Thrombospondin type-1 do
TICAM1	TIR domain containing adaptor molecule 1	TIR domain-containing adapter molecule 1
TICAM2	TIR domain containing adaptor molecule 2	TIR domain-containing adapter molecule 2
TIGD3	tigger transposable element derived 3	Tigger transposable element-derived protein 3
TIGD4	tigger transposable element derived 4	Tigger transposable element-derived protein 4
TIMM17B	translocase of inner mitochondrial membrane 17B	Mitochondrial import inner membrane translocase subunit Tim17-B
TIMM21	translocase of inner mitochondrial membrane 21	Mitochondrial import inner membrane translocase subunit Tim21
TIMM22	translocase of inner mitochondrial membrane 22	Mitochondrial import inner membrane translocase subunit Tim22
TIMM23	translocase of inner mitochondrial membrane 23	Mitochondrial import inner membrane translocase subunit Tim23
TINAG	tubulointerstitial nephritis antigen	Tubulointerstitial nephritis antigen
TIPE3	TNF alpha induced protein 8 like 3	
TJP3	tight junction protein 3	Tight junction protein ZO-3
TLCD2	TLC domain containing 2	TLC domain-containing protein 2
TLCD3A	TLC domain containing 3A	TLC domain-containing protein 3A
TLCD4	TLC domain containing 4	TLC domain-containing protein 4
TLE3	TLE family member 3, transcriptional corepressor	Transducin-like enhancer protein 3
TLE7	TLE family member 7	Transducin-like enhancer protein 7
TLK1	tousled like kinase 1	Serine/threonine-protein kinase tousled-like 1
TLK2	tousled like kinase 2	Serine/threonine-protein kinase tousled-like 2
TLN2	talin 2	Talin-2
TLR2	toll like receptor 2	Toll-like receptor 2
TLR3	toll like receptor 3	Toll-like receptor 3
TLR5	toll like receptor 5	Toll-like receptor 5
TLR7	toll like receptor 7	Toll-like receptor 7
TLX3	T cell leukemia homeobox 3	T-cell leukemia homeobox protein 3
TM4SF18	transmembrane 4 L six family member 18	Transmembrane 4 L6 family member 18
TM4SF19	transmembrane 4 L six family member 19	Transmembrane 4 L6 family member 19
TM4SF5	transmembrane 4 L six family member 5	Transmembrane 4 L6 family member 5
TM7SF3	transmembrane 7 superfamily member 3	Transmembrane 7 superfamily member 3
TM9SF2	transmembrane 9 superfamily member 2	Transmembrane 9 superfamily member 2
TM9SF3	transmembrane 9 superfamily member 3	Transmembrane 9 superfamily member 3
TM9SF4	transmembrane 9 superfamily member 4	Transmembrane 9 superfamily member 4
TMA16	translation machinery associated 16 homolog	Translation machinery-associated protein 16
TMA7	translation machinery associated 7 homolog	Translation machinery-associated protein 7
TMC5	transmembrane channel like 5	Transmembrane channel-like protein 5
TMC8	transmembrane channel like 8	Transmembrane channel-like protein 8
TMCC1	transmembrane and coiled-coil domain family 1	Transmembrane and coiled-coil domains protein 1
TMCO2	transmembrane and coiled-coil domains 2	Transmembrane and coiled-coil domain-containing protein 2
TMCO4	transmembrane and coiled-coil domains 4	Transmembrane and coiled-coil domain-containing protein 4
TMEFF1	transmembrane protein with EGF like and two follistatin like domains 1	Tomoregulin-1
TMEM106A	transmembrane protein 106A	Transmembrane protein 106A
TMEM106C	transmembrane protein 106C	Transmembrane protein 106C
TMEM115	transmembrane protein 115	Transmembrane protein 115
TMEM121	transmembrane protein 121	Transmembrane protein 121
TMEM125	transmembrane protein 125	Transmembrane protein 125
TMEM130	transmembrane protein 130	Transmembrane protein 130
TMEM132A	transmembrane protein 132A	Transmembrane protein 132A
TMEM132C	transmembrane protein 132C	Transmembrane protein 132C
TMEM141	transmembrane protein 141	Transmembrane protein 141
TMEM14B	transmembrane protein 14B	Transmembrane protein 14B
TMEM150B	transmembrane protein 150B	Modulator of macroautophagy TMEM150B
TMEM158	transmembrane protein 158	Transmembrane protein 158
TMEM161A	transmembrane protein 161A	Transmembrane protein 161A
TMEM164	transmembrane protein 164	Transmembrane protein 164
TMEM167A	transmembrane protein 167A	Protein kish-A
TMEM168	transmembrane protein 168	Transmembrane protein 168
TMEM17	transmembrane protein 17	Transmembrane protein 17
TMEM170B	transmembrane protein 170B	Transmembrane protein 170B
TMEM171	transmembrane protein 171	Transmembrane protein 171
TMEM174	transmembrane protein 174	Transmembrane protein 174
TMEM178A	transmembrane protein 178A	Transmembrane protein 178A
TMEM178B	transmembrane protein 178B	Transmembrane protein 178B
TMEM184B	transmembrane protein 184B	Transmembrane protein 184B
TMEM185B	transmembrane protein 185B	Transmembrane protein 185B
TMEM187	transmembrane protein 187	Transmembrane protein 187
TMEM190	transmembrane protein 190	Transmembrane protein 190
TMEM208	transmembrane protein 208	Transmembrane protein 208
TMEM213	transmembrane protein 213	Transmembrane protein 213
TMEM217	transmembrane protein 217	Transmembrane protein 217
TMEM218	transmembrane protein 218	Transmembrane protein 218
TMEM221	transmembrane protein 221	Transmembrane protein 221
TMEM223	transmembrane protein 223	Transmembrane protein 223
TMEM229B	transmembrane protein 229B	Transmembrane protein 229B
TMEM232	transmembrane protein 232	Transmembrane protein 232
TMEM238L	transmembrane protein 238 like	Transmembrane protein 238-like
TMEM242	transmembrane protein 242	Transmembrane protein 242
TMEM255B	transmembrane protein 255B	Transmembrane protein 255B
TMEM26	transmembrane protein 26	Transmembrane protein 26
TMEM260	transmembrane protein 260	Protein O-mannosyl-transferase TMEM260
TMEM271	transmembrane protein 271	Transmembrane protein 271
TMEM273	transmembrane protein 273	Transmembrane protein 273
TMEM33	transmembrane protein 33	Transmembrane protein 33
TMEM39A	transmembrane protein 39A	Transmembrane protein 39A
TMEM39B	transmembrane protein 39B	Transmembrane protein 39B
TMEM40	transmembrane protein 40	Transmembrane protein 40
TMEM41B	transmembrane protein 41B	Transmembrane protein 41B
TMEM44	transmembrane protein 44	Transmembrane protein 44
TMEM45A	transmembrane protein 45A	Transmembrane protein 45A
TMEM60	transmembrane protein 60	Transmembrane protein 60
TMEM67	transmembrane protein 67	Meckelin
TMEM68	transmembrane protein 68	DGAT1/2-independent enzyme synthesizing storage lipids
TMEM72	transmembrane protein 72	Transmembrane protein 72
TMEM80	transmembrane protein 80	Transmembrane protein 80
TMEM87A	transmembrane protein 87A	Golgi-pH regulating cation channel
TMPO	thymopoietin	Lamina-associated polypeptide 2, isoform alpha
TMPRSS11D	transmembrane serine protease 11D	Transmembrane protease serine 11D
TMPRSS13	transmembrane serine protease 13	Transmembrane protease serine 13
TMPRSS4	transmembrane serine protease 4	Transmembrane protease serine 4
TMSB15A	thymosin beta 15A	Thymosin beta-15A
TMTC2	transmembrane O-mannosyltransferase targeting cadherins 2	Protein O-mannosyl-transferase TMTC2
TMTC3	transmembrane O-mannosyltransferase targeting cadherins 3	Protein O-mannosyl-transferase TMTC3
TMX1	thioredoxin related transmembrane protein 1	Thioredoxin-related transmembrane protein 1
TMX2	thioredoxin related transmembrane protein 2	Thioredoxin-related transmembrane protein 2
TNFAIP2	TNF alpha induced protein 2	Tumor necrosis factor alpha-induced protein 2
TNFAIP6	TNF alpha induced protein 6	Tumor necrosis factor-inducible gene 6 protein
TNFRSF10B	TNF receptor superfamily member 10b	Tumor necrosis factor receptor superfamily member 10B
TNFRSF10D	TNF receptor superfamily member 10d	Tumor necrosis factor receptor superfamily member 10D
TNFRSF13C	TNF receptor superfamily member 13C	Tumor necrosis factor receptor superfamily member 13C
TNFRSF18	TNF receptor superfamily member 18	Tumor necrosis factor receptor superfamily member 18
TNFRSF1A	TNF receptor superfamily member 1A	Tumor necrosis factor receptor superfamily member 1A
TNFRSF1B	TNF receptor superfamily member 1B	Tumor necrosis factor receptor superfamily member 1B
TNFRSF8	TNF receptor superfamily member 8	Tumor necrosis factor receptor superfamily member 8
TNFSF8	TNF superfamily member 8	Tumor necrosis factor ligand superfamily member 8
TNK2	tyrosine kinase non receptor 2	Activated CDC42 kinase 1
TNN	tenascin N	Tenascin-N
TNNI2	troponin I2, fast skeletal type	Troponin I, fast skeletal muscle
TNNT1	troponin T1, slow skeletal type	Troponin T, slow skeletal muscle
TNNT3	troponin T3, fast skeletal type	Troponin T, fast skeletal muscle
TNPO3	transportin 3	Transportin-3
TNRC18	trinucleotide repeat containing 18	Trinucleotide repeat-containing gene 18 protein
TNS1	tensin 1	Tensin-1
TNS2	tensin 2	Tensin-2
TNS4	tensin 4	Tensin-4
TOE1	target of EGR1, exonuclease	Target of EGR1 protein 1
TOM1L2	target of myb1 like 2 membrane trafficking protein	TOM1-like protein 2
TOMM22	translocase of outer mitochondrial membrane 22	Mitochondrial import receptor subunit TOM22 homolog
TOP2B	DNA topoisomerase II beta	DNA topoisomerase 2-beta
TOPAZ1	testis and ovary specific TOPAZ 1	Protein TOPAZ1
TOR1AIP1	torsin 1A interacting protein 1	Torsin-1A-interacting protein 1
